symbol,entry_date,exit_date,contract,strike,entry_price,exit_price,pnl,score,days_held
AAPL,2025-03-10,2025-03-11,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
AAPL,2025-03-11,2025-03-12,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-12,2025-03-13,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-13,2025-03-14,O:AAPL250613P00220000,220.0,18.85,18.85,0.0,4,1
AAPL,2025-03-14,2025-03-17,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,3
AAPL,2025-03-15,2025-03-17,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,2
AAPL,2025-03-16,2025-03-17,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-17,2025-03-18,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-18,2025-03-19,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-19,2025-03-20,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-20,2025-03-21,O:AAPL250620P00225000,225.0,23.55,23.55,0.0,4,1
AAPL,2025-03-21,2025-03-24,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,3
AAPL,2025-03-22,2025-03-24,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,2
AAPL,2025-03-23,2025-03-24,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-24,2025-03-25,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,4,1
AAPL,2025-03-25,2025-03-26,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
AAPL,2025-03-26,2025-03-27,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
AAPL,2025-03-27,2025-03-28,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
AAPL,2025-03-28,2025-03-31,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,3
AAPL,2025-03-29,2025-03-31,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,2
AAPL,2025-03-30,2025-03-31,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
AAPL,2025-03-31,2025-04-01,O:AAPL250718P00235000,235.0,32.9,32.9,0.0,5,1
